UnitID,Code.x,Description,IndicatorID,CategoryID,Name,Code.y,Parameters,Units,YearMin,YearMax,MonthMin,MonthMax,DepthMin,DepthMax,Metric,Response,Applied,Comments,ACDEV,GTC_HM,GTC_ML,STC_HM,STC_ML,GSC_HM,GSC_ML,SSC_HM,SSC_ML,IW,ET,EQR_HG,EQR_GM,EQR_MP,EQR_PB,W,Period,ES,SD,N,NM,GridArea,EQR,EQRS,GTC,NMP,STC,NG,GSC,UnitArea,SSC,C,SE,CI,BEST,EQRS_Class
1,ADPM,Adour plume,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,1990,2000,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.155767,0.808333333333333,0.666666666666667,0.525,0.383333333333333,TRUE,1995,0.7,,1,1,96472855.8171618,1,1,0,8,0,2.8320572388819,0,283205723.888189,0,0,,,1.437178,High
1,ADPM,Adour plume,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,1990,2000,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.155767,0.808333333333333,0.666666666666667,0.525,0.383333333333333,TRUE,2000,1.425,,1,1,69974595.4116092,1,1,0,8,0,2.8320572388819,0,283205723.888189,0,0,,,1.437178,High
1,ADPM,Adour plume,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,1990,2000,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,2.155766634,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1995,0.7,,1,1,96472855.8171618,1,1,0,8,0,,0,,0,,,,1.437177756,High
1,ADPM,Adour plume,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,1990,2000,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,2.155766634,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,2000,1.425,,1,1,69974595.4116092,1,1,0,8,0,,0,,0,,,,1.437177756,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1990,4.31428571428571,1.13641038864865,7,1,18649923120.3679,1,1,50,4,0,60.3613568898474,0,217300884803.446,0,12.5,0.429522753667797,0.841849127729352,5.279793548,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1991,8.26666666666667,0.208166599946614,3,1,4426717936.4477,0.638684703387097,0.560496051840607,0,4,0,60.3613568898474,0,217300884803.446,0,0,0.120185042515466,0.235558354810729,5.279793548,Moderate
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1992,6.985,0.841169820349415,4,1,7962713577.2686,0.755875955332856,0.725942525175797,0,4,0,60.3613568898474,0,217300884803.446,0,0,0.420584910174707,0.82433127638344,5.279793548,Good
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1994,6.06315789473684,3.47846044328185,38,2,39994345409.1481,0.870799283090278,0.865181860615942,100,4,0,60.3613568898474,50,217300884803.446,0,37.5,0.564280796456323,1.10597003822197,5.279793548,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1995,8.23130434782609,1.1285360764678,23,1,34392229111.3688,0.641428542171984,0.564369706595742,100,4,0,60.3613568898474,0,217300884803.446,0,25,0.235316038726953,0.46121096088946,5.279793548,Moderate
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1996,6.71,0.486556103759128,20,1,25212842002.3963,0.786854478092399,0.769676910248093,100,4,0,60.3613568898474,0,217300884803.446,0,25,0.108797252287285,0.213238696099997,5.279793548,Good
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1997,5.93,,1,1,3.6e+09,0.890353043507589,0.885585784529658,0,4,0,60.3613568898474,0,217300884803.446,0,0,,,5.279793548,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1998,6.61,0.697937437501863,25,1,31059521275.1747,0.798758479273828,0.786482558974815,100,4,0,60.3613568898474,50,217300884803.446,0,37.5,0.139587487500373,0.273586448193165,5.279793548,Good
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1999,8.81214285714286,3.75411663222011,56,2,41203669367.4737,0.599149790646024,0.504682057382622,100,4,0,60.3613568898474,100,217300884803.446,0,50,0.501664936705618,0.983245208249576,5.279793548,Moderate
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,2000,10.1831818181818,2.88885771850206,22,1,7181229210.27066,0.518481712520645,0.390797711793851,100,4,0,60.3613568898474,0,217300884803.446,0,25,0.615906535034073,1.20715462650964,5.279793548,Poor
2,ASS,Atlantic Seasonally Stratified,2,12,Dissolved Inorganic Phosphorus,DIP,PHOS,umol/l,1990,2000,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,0.394259498,0.808333333333333,0.666666666666667,0.525,0.383333333333333,,1990,0.264285714285714,0.0910781976942786,7,1,18649923120.3679,0.994528463423423,0.99429057052879,50,4,0,60.3613568898474,0,217300884803.446,0,12.5,0.0344243229941482,0.0674704332607045,0.262839665333333,High
