UnitID,Code.x,Description,IndicatorID,CategoryID,Name,Code.y,Parameters,Units,YearMin,YearMax,MonthMin,MonthMax,DepthMin,DepthMax,Metric,Response,Applied,Comments,ACDEV,GTC_HM,GTC_ML,STC_HM,STC_ML,GSC_HM,GSC_ML,SSC_HM,SSC_ML,IW,ET,EQR_HG,EQR_GM,EQR_MP,EQR_PB,W,Thres,NSTC100,Period,ES,SD,EQR,EQRS,N,N_OBS,GTC,STC,GSC,SSC,EQRS_Class,TC,TC_Class,SC,SC_Class,AC_SE,AC_NPA,AC_PA,AC,ACC,ACC_Class,C,C_Class
1,ADPM,Adour plume,4,3,Oxygen Deficiency,DOXY,DOXY,mg/l,2015,2020,7,10,0,500,5th percentile of deepest sample within 10 meters from bottom,0,1,,40,12,6,0,2,0.8,0.4,70,50,50,6,,,,,,1,,20162016,4.44285714285714,,0.444285714285714,0.422040816326531,1,1,0,0,0,0,Moderate,0,Low,0,Low,,,,,,,,
1,ADPM,Adour plume,6,12,Total Phosphorus,TP,PTOT,umol/l,2015,2020,1,12,0,10,Mean,1,1,,50,26,14,3,5,1,0.6,70,50,50,,,,,,,,,20202020,0.02,,,,1,1,0,0,0,0,,0,Low,0,Low,,,,,,,,
1,ADPM,Adour plume,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.7,,,,,,1,6,20152020,1.51031629517759,0.494945007849349,0.807591267990254,0.765623141695761,6,103168,100,100,100,100,Good,100,High,100,High,0.00154093543590618,1,0,1,100,High,100,High
1,ADPM,Adour plume,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,1.7,,,,,,1,6,20152020,1.51031629517759,0.494945007849349,0.807591267990254,0.765623141695761,6,103168,100,100,100,100,Good,100,High,100,High,0.00154093543590618,1,0,1,100,High,100,High
2,ASS,Atlantic Seasonally Stratified,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,11.6,,,,,,1,,20152020,7.09287646145415,3.74865930612851,0.891052850098768,0.873802682685923,5,184,70,0,40,0,High,35,Low,20,Low,0.276354830526923,1,0,1,100,High,51.6666666666667,Moderate
2,ASS,Atlantic Seasonally Stratified,2,12,Dissolved Inorganic Phosphorus,DIP,PHOS,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,0.83,,,,,,1,,20152020,0.392360020094995,0.224687989801128,0.958558284674305,0.956756470964492,5,184,70,0,40,0,High,35,Low,20,Low,0.0165642183703949,1,0,1,100,High,51.6666666666667,Moderate
2,ASS,Atlantic Seasonally Stratified,4,3,Oxygen Deficiency,DOXY,DOXY,mg/l,2015,2020,7,10,0,500,5th percentile of deepest sample within 10 meters from bottom,0,1,,40,12,6,0,2,0.8,0.4,70,50,50,6,,,,,,1,,20152020,6.29190476190476,0.854443567196693,0.629190476190476,0.633360544217687,6,170,75,8.33333333333333,16.6666666666667,0,Good,41.6666666666667,Low,8.33333333333333,Low,0.0655328300985719,0.999995792194401,4.20780559862166e-06,0.999995792194401,100,High,50,Moderate
2,ASS,Atlantic Seasonally Stratified,6,12,Total Phosphorus,TP,PTOT,umol/l,2015,2020,1,12,0,10,Mean,1,1,,50,26,14,3,5,1,0.6,70,50,50,,,,,,,,,20152020,0.0113534080298786,0.00157079723549734,,,6,117,41.6666666666667,0,0,0,,20.8333333333333,Low,0,Low,0.000145220255793403,,,,,,,
2,ASS,Atlantic Seasonally Stratified,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.4,,,,,,1,,20152020,0.632818132403659,0.155336602740121,1,1,6,135,41.6666666666667,0,8.33333333333333,0,High,20.8333333333333,Low,4.16666666666667,Low,0.0133692461215317,1,0,1,100,High,41.6666666666667,Low
2,ASS,Atlantic Seasonally Stratified,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.4,,,,,,1,6,20152020,0.673626167087161,0.0599267251441599,1,1,6,99206488,100,100,100,100,High,100,High,100,High,6.01659124518113e-06,1,0,1,100,High,100,High
2,ASS,Atlantic Seasonally Stratified,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,1.4,,,,,,1,,20152020,0.65322214974541,0.0927479408834093,1,1,6,99206623,70.8333333333333,50,54.1666666666667,50,High,60.4166666666667,Moderate,52.0833333333333,Moderate,9.31180651212011e-06,1,0,1,100,High,70.8333333333333,Moderate
3,ATL,Atlantic,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,15.3,,,,,,1,,20162020,10.5636471861472,1.38132737939972,0.929989298927557,0.926945355402668,4,48,75,0,0,0,High,37.5,Low,0,Low,0.199377433583857,1,0,1,100,High,45.8333333333333,Low
3,ATL,Atlantic,2,12,Dissolved Inorganic Phosphorus,DIP,PHOS,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,0.98,,,,,,1,,20162020,0.485954545454545,0.300266786282795,0.945421760400379,0.943048793461265,4,31,37.5,0,0,0,High,18.75,Low,0,Low,0.0539295068389304,1,0,1,100,High,39.5833333333333,Low
3,ATL,Atlantic,4,3,Oxygen Deficiency,DOXY,DOXY,mg/l,2015,2020,7,10,0,500,5th percentile of deepest sample within 10 meters from bottom,0,1,,40,12,6,0,2,0.8,0.4,70,50,50,6,,,,,,1,,20152020,6.63559523809524,0.871067421260233,0.663559523809524,0.672639455782313,6,26,16.6666666666667,0,0,0,Good,8.33333333333333,Low,0,Low,0.170830376102341,0.999900633605476,9.93663945243473e-05,0.999900633605476,100,High,36.1111111111111,Low
3,ATL,Atlantic,6,12,Total Phosphorus,TP,PTOT,umol/l,2015,2020,1,12,0,10,Mean,1,1,,50,26,14,3,5,1,0.6,70,50,50,,,,,,,,,20152020,0.119267071717464,0.166592005879595,,,6,141,58.3333333333333,0,0,0,,29.1666666666667,Low,0,Low,0.0140295777785826,,,,,,,
3,ATL,Atlantic,7,3,Secchi Depth,SECC,SECC,m,2015,2020,3,10,0,9999,Mean,0,1,,25,26,14,1,3,1,0.6,80,60,50,,,,,,,,,20152019,11.5,2.88675134594813,,,4,7,0,0,0,0,,0,Low,0,Low,1.09108945117996,,,,,,,
3,ATL,Atlantic,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.8,,,,,,1,,20152020,0.802694766194766,0.0927190072103981,1,1,6,188,83.3333333333333,0,0,0,High,41.6666666666667,Low,0,Low,0.00676222859921897,1,0,1,100,High,47.2222222222222,Low
3,ATL,Atlantic,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,1.8,,,,,,1,6,20152020,0.566014457555679,0.050496475553506,1,1,6,313692435,100,100,100,100,High,100,High,100,High,2.85107764274251e-06,1,0,1,100,High,100,High
3,ATL,Atlantic,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,1.8,,,,,,1,,20152020,0.684354611875222,0.0380565957561074,1,1,6,313692623,91.6666666666667,50,50,50,High,70.8333333333334,Moderate,50,Moderate,2.14870989740151e-06,1,0,1,100,High,73.6111111111111,Moderate
4,CCTI,Channel coastal shelf tidal influenced,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,12,,,,,,1,2,20152020,8.52439285714286,2.41900612983497,0.892370844926476,0.879438019337884,6,69,66.6666666666667,58.3333333333333,100,50,High,62.5,Moderate,75,High,0.291214116559887,1,0,1,100,High,79.1666666666667,High
4,CCTI,Channel coastal shelf tidal influenced,2,12,Dissolved Inorganic Phosphorus,DIP,PHOS,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,0.64,,,,,,1,2,20152020,0.481427248677249,0.171430936963152,0.840534469574253,0.81708098905299,6,69,66.6666666666667,58.3333333333333,100,50,High,62.5,Moderate,75,High,0.0206378595916018,0.999999999999992,7.7715611723761e-15,0.999999999999992,100,High,79.1666666666667,High
4,CCTI,Channel coastal shelf tidal influenced,4,3,Oxygen Deficiency,DOXY,DOXY,mg/l,2015,2020,7,10,0,500,5th percentile of deepest sample within 10 meters from bottom,0,1,,40,12,6,0,2,0.8,0.4,70,50,50,6,,,,,,1,,20162020,9.73442857142857,0.840877881885888,0.955757142857143,0.960673015873016,5,67,70,0,100,80,High,35,Low,90,High,0.102729583601506,1,0,1,100,High,75,High
4,CCTI,Channel coastal shelf tidal influenced,6,12,Total Phosphorus,TP,PTOT,umol/l,2015,2020,1,12,0,10,Mean,1,1,,50,26,14,3,5,1,0.6,70,50,50,,,,,,,,,20152020,0.0157323232323232,0.00360009267642502,,,6,88,33.3333333333333,0,91.6666666666667,75,,16.6666666666667,Low,83.3333333333333,High,0.000383771168780201,,,,,,,
4,CCTI,Channel coastal shelf tidal influenced,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.3,,,,,,1,3,20152020,1.66143090569561,0.269132925110557,0.89735812755896,0.891237105884255,6,89,33.3333333333333,100,100,58.3333333333333,High,66.6666666666667,Moderate,79.1666666666667,High,0.02852803300571,1,0,1,100,High,81.9444444444445,High
4,CCTI,Channel coastal shelf tidal influenced,302,,Chlorophyll a (satellite),CPHL-EO,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.3,,,,,,1,6,20152020,1.6634043300471,0.323868264733525,0.908604871479707,0.897586066262614,6,3209521,100,100,100,100,High,100,High,100,High,0.000180779126473406,1,0,1,100,High,100,High
4,CCTI,Channel coastal shelf tidal influenced,3,2,Chlorophyll a (in-situ & satellite),CPHL,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,100,2.3,,,,,,1,3,20152020,1.66241761787136,0.199604748272162,0.921844824008811,0.915835981397347,6,3209610,66.6666666666667,100,100,79.1666666666667,High,83.3333333333333,High,89.5833333333333,High,0.000111415274858619,1,0,1,100,High,90.9722222222222,High
5,CFR,Coastal FR channel,1,11,Dissolved Inorganic Nitrogen,DIN,NTRA+NTRI+AMON,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,16,,,,,,1,4,20152020,15.4215460030166,3.98216435865918,0.729170865523638,0.675298359485537,6,78,75,100,100,41.6666666666667,Good,87.5,High,70.8333333333333,Moderate,0.450891324949894,0.900238586890459,0.0997614131095408,0.900238586890459,100,High,86.1111111111111,High
5,CFR,Coastal FR channel,2,12,Dissolved Inorganic Phosphorus,DIP,PHOS,umol/l,2015,2020,11,2,0,10,Mean,1,1,,50,12,6,0,2,0.8,0.4,70,50,50,0.6,,,,,,1,4,20152020,0.632580861404391,0.270160964623678,0.687086103550102,0.615198201794352,6,78,75,100,100,41.6666666666667,Good,87.5,High,70.8333333333333,Moderate,0.0305897055765741,0.143417070341986,0.856582929658014,0.856582929658014,50,Moderate,69.4444444444445,Moderate
5,CFR,Coastal FR channel,4,3,Oxygen Deficiency,DOXY,DOXY,mg/l,2015,2020,7,10,0,500,5th percentile of deepest sample within 10 meters from bottom,0,1,,40,12,6,0,2,0.8,0.4,70,50,50,6,,,,,,1,,20162020,9.61714285714286,0.770380240067017,0.9456,0.951644444444445,5,161,100,10,100,100,High,55,Moderate,100,High,0.0607144683957793,1,0,1,100,High,85,High
5,CFR,Coastal FR channel,6,12,Total Phosphorus,TP,PTOT,umol/l,2015,2020,1,12,0,10,Mean,1,1,,50,26,14,3,5,1,0.6,70,50,50,,,,,,,,,20152020,0.0184128858024691,0.00563512882008807,,,6,179,75,0,91.6666666666667,83.3333333333333,,37.5,Low,87.5,High,0.000421189303231164,,,,,,,
5,CFR,Coastal FR channel,301,,Chlorophyll a (in-situ),CPHL-IN-SITU,CPHL,ug/l,2015,2020,3,10,0,10,Mean,1,1,,50,26,14,1,3,1,0.6,80,60,,2.8,,,,,,1,5,20152020,3.2616727994228,0.580387536500642,0.587762941286061,0.488606505345028,6,181,75,100,100,75,Moderate,87.5,High,87.5,High,0.0431398658435741,4.9927722592781e-27,1,1,100,High,91.6666666666667,High
